29-01-2026 14:47:25 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): raw.githubusercontent.com:443
29-01-2026 19:47:33 | INFO | __main__ | Step 155, Loss: 5.9811
29-01-2026 19:49:38 | INFO | __main__ | Step 156, Loss: 5.9749
29-01-2026 19:51:42 | INFO | __main__ | Step 157, Loss: 5.9679
29-01-2026 19:53:35 | INFO | __main__ | Step 158, Loss: 5.9623
29-01-2026 19:55:32 | INFO | __main__ | Step 159, Loss: 5.9715
29-01-2026 19:57:42 | INFO | __main__ | Step 160, Loss: 5.9463
29-01-2026 19:59:43 | INFO | __main__ | Step 161, Loss: 5.9601
29-01-2026 20:01:33 | INFO | __main__ | Step 162, Loss: 5.9385
29-01-2026 20:03:25 | INFO | __main__ | Step 163, Loss: 5.9405
29-01-2026 20:05:22 | INFO | __main__ | Step 164, Loss: 5.9306
29-01-2026 20:07:22 | INFO | __main__ | Step 165, Loss: 5.9481
29-01-2026 20:09:17 | INFO | __main__ | Step 166, Loss: 5.9374
29-01-2026 20:11:23 | INFO | __main__ | Step 167, Loss: 5.9080
29-01-2026 20:13:32 | INFO | __main__ | Step 168, Loss: 5.9314
29-01-2026 20:15:39 | INFO | __main__ | Step 169, Loss: 5.9095
29-01-2026 20:17:47 | INFO | __main__ | Step 170, Loss: 5.9067
29-01-2026 20:19:47 | INFO | __main__ | Step 171, Loss: 5.8914
29-01-2026 20:21:33 | INFO | __main__ | Step 172, Loss: 5.9013
29-01-2026 20:23:19 | INFO | __main__ | Step 173, Loss: 5.8839
29-01-2026 20:25:05 | INFO | __main__ | Step 174, Loss: 5.8860
29-01-2026 20:26:51 | INFO | __main__ | Step 175, Loss: 5.8810
29-01-2026 20:28:38 | INFO | __main__ | Step 176, Loss: 5.8561
29-01-2026 20:30:23 | INFO | __main__ | Step 177, Loss: 5.9008
29-01-2026 20:32:08 | INFO | __main__ | Step 178, Loss: 5.8713
29-01-2026 20:33:54 | INFO | __main__ | Step 179, Loss: 5.8729
29-01-2026 20:35:43 | INFO | __main__ | Step 180, Loss: 5.8587
29-01-2026 20:37:37 | INFO | __main__ | Step 181, Loss: 5.8674
29-01-2026 20:39:32 | INFO | __main__ | Step 182, Loss: 5.8596
29-01-2026 20:41:29 | INFO | __main__ | Step 183, Loss: 5.8474
29-01-2026 20:43:26 | INFO | __main__ | Step 184, Loss: 5.8646
29-01-2026 20:45:24 | INFO | __main__ | Step 185, Loss: 5.8245
29-01-2026 20:47:26 | INFO | __main__ | Step 186, Loss: 5.8356
29-01-2026 20:49:33 | INFO | __main__ | Step 187, Loss: 5.8262
29-01-2026 20:51:42 | INFO | __main__ | Step 188, Loss: 5.8219
29-01-2026 20:53:51 | INFO | __main__ | Step 189, Loss: 5.8135
29-01-2026 20:56:01 | INFO | __main__ | Step 190, Loss: 5.8084
29-01-2026 20:58:09 | INFO | __main__ | Step 191, Loss: 5.8099
29-01-2026 21:00:18 | INFO | __main__ | Step 192, Loss: 5.7789
29-01-2026 21:02:27 | INFO | __main__ | Step 193, Loss: 5.8169
29-01-2026 21:04:35 | INFO | __main__ | Step 194, Loss: 5.7847
29-01-2026 21:06:44 | INFO | __main__ | Step 195, Loss: 5.7852
29-01-2026 21:08:53 | INFO | __main__ | Step 196, Loss: 5.7789
29-01-2026 21:11:02 | INFO | __main__ | Step 197, Loss: 5.7753
29-01-2026 21:13:11 | INFO | __main__ | Step 198, Loss: 5.7612
29-01-2026 21:15:22 | INFO | __main__ | Step 199, Loss: 5.7640
29-01-2026 21:17:31 | INFO | __main__ | Step 200, Loss: 5.7705
29-01-2026 21:19:40 | INFO | __main__ | Step 201, Loss: 5.7494
29-01-2026 21:21:49 | INFO | __main__ | Step 202, Loss: 5.7580
29-01-2026 21:24:01 | INFO | __main__ | Step 203, Loss: 5.7416
29-01-2026 21:26:13 | INFO | __main__ | Step 204, Loss: 5.7384
29-01-2026 21:28:23 | INFO | __main__ | Step 205, Loss: 5.7329
29-01-2026 21:30:33 | INFO | __main__ | Step 206, Loss: 5.7263
29-01-2026 21:32:42 | INFO | __main__ | Step 207, Loss: 5.7235
29-01-2026 21:34:54 | INFO | __main__ | Step 208, Loss: 5.7009
29-01-2026 21:37:06 | INFO | __main__ | Step 209, Loss: 5.7240
29-01-2026 21:39:17 | INFO | __main__ | Step 210, Loss: 5.6940
29-01-2026 21:41:31 | INFO | __main__ | Step 211, Loss: 5.7019
